BRG NO,Span Grp,Span Length,Span Length for cal,Span Type,LL:DL Ratio,Year BLT,Rating,>ST45,Semi-Trailer,B-Double,No of lane,Design Key,SPAN@ABS,DESIGNBM,DESIGNShear,HMLBM,HMLShear ,Rating BM,Rating Shear,Final BM,Final Shear,Allowance (DesignLoad),Allowance(FinalRating)
10705,1-2,10.67,10.67,PPLNK,3.5,2013,,0,Y,Y,2,9,0.67,1105.686,478.038,664.3306587,315.694,0,0,664.331,315.694,0.05,0.111
10724,0-1,29.23,29.23,PSUTG,4,2012,,0,Y,Y,2,9,0.23,8156.501,1183.714,3535.531763,541.312,0,0,3535.532,541.312,0.05,0.111
10724,1-2,29.23,29.23,PSUTG,4,2012,,0,Y,Y,2,9,0.23,8156.501,1183.714,3535.531763,541.312,0,0,3535.532,541.312,0.05,0.111
10725,0-1,29.95,29.95,PSUTG,4,2012,,0,Y,Y,2,9,0.95,8552.5,1208.293,3676.139126,547.003,0,0,3676.139,547.003,0.05,0.111
10725,3-4,29.95,29.95,PSUTG,4,2012,,0,Y,Y,2,9,0.95,8552.5,1208.293,3676.139126,547.003,0,0,3676.139,547.003,0.05,0.111
10725,1-2,30,30,PSUTG,4,2012,,0,Y,Y,2,9,0,8580,1210,3685.903527,547.399,0,0,3685.904,547.399,0.05,0.111
10725,2-3,30,30,PSUTG,4,2012,,0,Y,Y,2,9,0,8580,1210,3685.903527,547.399,0,0,3685.904,547.399,0.05,0.111
10726,0-1,29.95,29.95,PSUTG,4,2012,,0,Y,Y,2,9,0.95,8552.5,1208.293,3676.139126,547.003,0,0,3676.139,547.003,0.05,0.111
10726,3-4,29.95,29.95,PSUTG,4,2012,,0,Y,Y,2,9,0.95,8552.5,1208.293,3676.139126,547.003,0,0,3676.139,547.003,0.05,0.111
10726,1-2,30,30,PSUTG,4,2012,,0,Y,Y,2,9,0,8580,1210,3685.903527,547.399,0,0,3685.904,547.399,0.05,0.111
10726,2-3,30,30,PSUTG,4,2012,,0,Y,Y,2,9,0,8580,1210,3685.903527,547.399,0,0,3685.904,547.399,0.05,0.111
10727,0-1,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10728,0-1,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10729,0-1,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10729,1-2,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10730,1-2,34,34,PVSLB,3.5,2012,,0,Y,Y,2,9,0,10780,1326.471,4459.30401,573.493,0,0,4459.304,573.493,0.05,0.111
10731,1-8,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10732,1-8,32,32,PSUTG,4,2012,,0,Y,Y,2,9,0,9680,1271.875,4074.089517,561.44,0,0,4074.09,561.44,0.05,0.111
10733,1,30.5,30.5,SGIRD,3.5,2012,,0,Y,Y,2,9,0.5,8855,1225.968,3783.143586,551.046,0,0,3783.144,551.046,0.05,0.111
10733,2,51.1,51.1,SGIRD,3.5,2012,,0,Y,Y,2,9,0.1,20185,1618.767,7659.644864,631.011,0,0,7659.645,631.011,0.05,0.111
10733,3,30.5,30.5,SGIRD,3.5,2012,,0,Y,Y,2,9,0.5,8855,1225.968,3783.143586,551.046,0,0,3783.144,551.046,0.05,0.111
10734,1,30.5,30.5,SGIRD,3.5,2012,,0,Y,Y,2,9,0.5,8855,1225.968,3783.143586,551.046,0,0,3783.144,551.046,0.05,0.111
10734,2,51.1,51.1,SGIRD,3.5,2012,,0,Y,Y,2,9,0.1,20185,1618.767,7659.644864,631.011,0,0,7659.645,631.011,0.05,0.111
10734,3,30.5,30.5,SGIRD,3.5,2012,,0,Y,Y,2,9,0.5,8855,1225.968,3783.143586,551.046,0,0,3783.144,551.046,0.05,0.111
10735,1,33.32,33.32,PSUTG,4,2012,,0,Y,Y,2,9,0.32,10406,1308.471,4328.573286,569.547,0,0,4328.573,569.547,0.05,0.111
10735,1,33.32,33.32,PSUTG,4,2012,,0,Y,Y,2,9,0.32,10406,1308.471,4328.573286,569.547,0,0,4328.573,569.547,0.05,0.111
10735,2,36.55,36.55,PSUTG,4,2012,,0,Y,Y,2,9,0.55,12182.5,1387.263,4946.434915,586.493,0,0,4946.435,586.493,0.05,0.111
10735,2,36.55,36.55,PSUTG,4,2012,,0,Y,Y,2,9,0.55,12182.5,1387.263,4946.434915,586.493,0,0,4946.435,586.493,0.05,0.111
10736,1-2,34.69,34.69,PSUTG,4,2012,,0,Y,Y,2,9,0.69,11159.5,1343.692,4591.485368,577.216,0,0,4591.485,577.216,0.05,0.111
10737,1,30.4,30.4,CBOXG,5,2012,,0,Y,Y,2,9,0.4,8800,1222.774,3763.695574,550.317,0,0,3763.696,550.317,0.05,0.111
10737,2-3,36.25,36.25,CBOXG,5,2012,,0,Y,Y,2,9,0.25,12017.5,1380.574,4889.351224,585.087,0,0,4889.351,585.087,0.05,0.111
10737,4,20.45,20.45,CBOXG,5,2012,,0,Y,Y,2,9,0.45,4020.157,850.752,1910.11951,434.854,0,0,1910.12,434.854,0.05,0.111
10737,5,29.39,29.39,CBOXG,5,2012,,0,Y,Y,2,9,0.39,8244.501,1189.176,3566.777844,542.576,0,0,3566.778,542.576,0.05,0.111
10738,1,12.82,12.82,PPLNK,3.5,2012,,0,Y,Y,2,9,0.82,1599.813,560.165,920.5445515,357.504,0,0,920.545,357.504,0.05,0.111
10739,31,23.99,23.99,PSUTG,4,2017,,0,Y,Y,2,9,0.99,5523.032,986.179,2498.72323,487.798,0,0,2498.723,487.798,0.05,0.111
10740,1,57.46,57.46,SBOXG,3.5,2012,,0,Y,Y,2,9,0.46,23683,1683.08,8818.466569,641.562,0,0,8818.467,641.562,0.05,0.111
10741,1,56.98,56.98,SBOXG,3.5,2012,,0,Y,Y,2,9,0.98,23419,1678.762,8731.495101,640.886,0,0,8731.495,640.886,0.05,0.111
10742,1,29.43,29.43,PSUTG,4,2012,,0,Y,Y,2,9,0.43,8266.501,1190.541,3574.589364,542.893,0,0,3574.589,542.893,0.05,0.111
10743,1,35.91,35.91,PSUTG,4,2013,,0,Y,Y,2,9,0.91,11830.5,1372.879,4824.599555,583.462,0,0,4824.6,583.462,0.05,0.111
10744,1,32.47,32.47,PSUTG,4,2012,,0,Y,Y,2,9,0.47,9938.5,1285.094,4164.782328,564.377,0,0,4164.782,564.377,0.05,0.111
10745,1,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10745,2-4,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10745,5,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10746,1,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10746,2-4,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10746,5,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10747,1,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10747,2-3,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10747,4,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10748,1,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10748,2-3,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10748,4,52,52,PBOXG,5,2013,,0,Y,Y,2,9,0,20680,1628.846,7824.481954,632.728,0,0,7824.482,632.728,0.05,0.111
10749,1,60.5,60.5,PBOXG,5,2013,,0,Y,Y,2,9,0.5,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10749,3,60.5,60.5,PBOXG,5,2013,,0,Y,Y,2,9,0.5,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10749,2,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
